3.350e+01  1.181e+03  4.957e+00
9.350e+01  2.493e+03  7.204e+00
1.535e+02  4.467e+03  9.645e+00
2.135e+02  5.680e+03  1.088e+01
2.735e+02  4.859e+03  1.006e+01
3.335e+02  2.943e+03  7.828e+00
3.935e+02  1.849e+03  6.204e+00
4.535e+02  1.978e+03  6.417e+00
5.135e+02  2.493e+03  7.204e+00
5.735e+02  2.422e+03  7.101e+00
6.335e+02  1.957e+03  6.383e+00
6.935e+02  1.840e+03  6.189e+00
7.535e+02  2.199e+03  6.767e+00
8.135e+02  2.472e+03  7.175e+00
8.735e+02  2.153e+03  6.696e+00
9.335e+02  1.498e+03  5.585e+00
9.935e+02  1.089e+03  4.760e+00
1.054e+03  1.078e+03  4.736e+00
1.114e+03  1.197e+03  4.992e+00
1.174e+03  1.128e+03  4.845e+00
1.234e+03  8.922e+02  4.308e+00
1.294e+03  7.290e+02  3.894e+00
1.354e+03  7.325e+02  3.903e+00
1.414e+03  7.867e+02  4.045e+00
1.474e+03  7.346e+02  3.909e+00
1.534e+03  5.752e+02  3.458e+00
1.594e+03  4.331e+02  2.999e+00
1.654e+03  3.810e+02  2.813e+00
1.714e+03  3.840e+02  2.824e+00
1.774e+03  3.687e+02  2.767e+00
1.834e+03  3.127e+02  2.547e+00
1.894e+03  2.545e+02  2.297e+00
1.954e+03  2.274e+02  2.171e+00
2.014e+03  2.232e+02  2.150e+00
2.074e+03  2.121e+02  2.096e+00
2.134e+03  1.811e+02  1.936e+00
2.194e+03  1.448e+02  1.730e+00
2.254e+03  1.211e+02  1.580e+00
2.314e+03  1.113e+02  1.514e+00
2.374e+03  1.047e+02  1.468e+00
2.434e+03  9.320e+01  1.384e+00
2.494e+03  7.895e+01  1.272e+00
2.554e+03  6.797e+01  1.179e+00
2.614e+03  6.190e+01  1.124e+00
2.674e+03  5.740e+01  1.082e+00
2.734e+03  5.110e+01  1.019e+00
2.794e+03  4.325e+01  9.358e-01
2.854e+03  3.633e+01  8.554e-01
2.914e+03  3.174e+01  7.976e-01
2.974e+03  2.873e+01  7.574e-01
3.034e+03  2.590e+01  7.174e-01
3.094e+03  2.274e+01  6.701e-01
3.154e+03  1.977e+01  6.224e-01
3.214e+03  1.748e+01  5.830e-01
3.274e+03  1.576e+01  5.515e-01
3.334e+03  1.415e+01  5.205e-01
3.394e+03  1.244e+01  4.853e-01
3.454e+03  1.077e+01  4.485e-01
3.514e+03  9.391e+00  4.155e-01
3.574e+03  8.343e+00  3.888e-01
3.634e+03  7.498e+00  3.659e-01
3.694e+03  6.724e+00  3.437e-01
3.754e+03  5.996e+00  3.215e-01
3.814e+03  5.355e+00  3.007e-01
3.874e+03  4.820e+00  2.824e-01
3.934e+03  4.360e+00  2.657e-01
3.994e+03  4.010e+00  3.130e-01
